process,efficiency,gwp-co2-eq,cycles
STRAP,0.95,2973.237197,1
STRAP,0.9,3083.028822,1
STRAP,0.8,3203.969121,1
MASC,0.95,3691.717949,1
MASC,0.9,3757.716981,1
MASC,0.8,3830.840909,1
STRAP,0.95,2303.472907,2
STRAP,0.9,2458.739807,2
STRAP,0.8,2633.391387,2
MASC,0.95,3256.339176,2
MASC,0.9,3347.319951,2
MASC,0.8,3451.049281,2
STRAP,0.95,1972.658235,3
STRAP,0.9,2157.011731,3
STRAP,0.8,2367.510285,3
MASC,0.95,3038.935847,3
MASC,0.9,3144.613773,3
MASC,0.8,3268.086783,3
STRAP,0.95,1777.368365,4
STRAP,0.9,1983.924199,4
STRAP,0.8,2222.070904,4
MASC,0.95,2908.722274,4
MASC,0.9,3024.950207,4
MASC,0.8,3163.576778,4
STRAP,0.95,1649.783267,5
STRAP,0.9,1874.771011,5
STRAP,0.8,2135.499975,5
MASC,0.95,2822.10313,5
MASC,0.9,2946.772636,5
MASC,0.8,3098.014011,5
STRAP,0.95,1560.827949,6
STRAP,0.9,1801.777941,6
STRAP,0.8,2081.358603,6
MASC,0.95,2760.394618,6
MASC,0.9,2892.265403,6
MASC,0.8,3054.438535,6
STRAP,0.95,1495.957634,7
STRAP,0.9,1751.032663,7
STRAP,0.8,2046.445603,7
MASC,0.95,2714.254768,7
MASC,0.9,2852.516218,7
MASC,0.8,3024.35442,7
STRAP,0.95,1447.086218,8
STRAP,0.9,1714.794418,8
STRAP,0.8,2023.485426,8
MASC,0.95,2678.493531,8
MASC,0.9,2822.570334,8
MASC,0.8,3003.035585,8
STRAP,0.95,1409.357713,9
STRAP,0.9,1688.417046,9
STRAP,0.8,2008.190261,9
MASC,0.95,2649.996823,9
MASC,0.9,2799.45225,9
MASC,0.8,2987.647352,9
STRAP,0.95,1379.678729,10
STRAP,0.9,1668.949267,10
STRAP,0.8,1997.913659,10
MASC,0.95,2626.7829,10
MASC,0.9,2781.266499,10
MASC,0.8,2976.391639,10
