process,solvent_energy,gwp-co2-eq,cycles
STRAP,Base,2973.237197,1
STRAP,+50%,2997.204852,1
STRAP,+100%,3021.172507,1
MASC,Base,3691.717949,1
MASC,-50%,4188.641026,1
MASC,+50%,3194.794872,1
STRAP,Base,2303.472907,2
STRAP,+50%,2335.364826,2
STRAP,+100%,2367.256745,2
MASC,Base,3256.339176,2
MASC,-50%,3918.758107,2
MASC,+50%,2593.920245,2
STRAP,Base,1972.658235,3
STRAP,+50%,2008.464162,3
STRAP,+100%,2044.27009,3
MASC,Base,3038.935847,3
MASC,-50%,3783.993969,3
MASC,+50%,2293.877725,3
STRAP,Base,1777.368365,4
STRAP,+50%,1815.484849,4
STRAP,+100%,1853.601333,4
MASC,Base,2908.722274,4
MASC,-50%,3703.277082,4
MASC,+50%,2114.167466,4
STRAP,Base,1649.783267,5
STRAP,+50%,1689.409264,5
STRAP,+100%,1729.035261,5
MASC,Base,2822.10313,5
MASC,-50%,3649.583542,5
MASC,+50%,1994.622718,5
STRAP,Base,1560.827949,6
STRAP,+50%,1601.506414,6
STRAP,+100%,1642.18488,6
MASC,Base,2760.394618,6
MASC,-50%,3611.331624,6
MASC,+50%,1909.457613,6
STRAP,Base,1495.957634,7
STRAP,+50%,1537.403607,7
STRAP,+100%,1578.84958,7
MASC,Base,2714.254768,7
MASC,-50%,3582.730419,7
MASC,+50%,1845.779117,7
STRAP,Base,1447.086218,8
STRAP,+50%,1489.11041,8
STRAP,+100%,1531.134602,8
MASC,Base,2678.493531,8
MASC,-50%,3560.562717,8
MASC,+50%,1796.424346,8
STRAP,Base,1409.357713,9
STRAP,+50%,1451.828286,9
STRAP,+100%,1494.298859,9
MASC,Base,2649.996823,9
MASC,-50%,3542.898156,9
MASC,+50%,1757.095489,9
STRAP,Base,1379.678729,10
STRAP,+50%,1422.500447,10
STRAP,+100%,1465.322165,10
MASC,Base,2626.7829,10
MASC,-50%,3528.508292,10
MASC,+50%,1725.057508,10
