process,solvent_recovery,total_supplychain_cost_USD,total_eol_cost_USD,cycles
STRAP,0.998,1309.9083295575574,358.8633237918273,1
STRAP,0.9,4885.7331025520325,3934.688096786303,1
STRAP,0.8,8535.187182440275,7584.142176674545,1
MASC,0.99,1656.4719858763572,736.0538531776589,1
MASC,0.9,4465.920770595713,3545.502637897015,1
MASC,0.8,7587.530531394999,6667.112398696301,1
STRAP,0.998,1148.530473086302,391.3596526204213,2
STRAP,0.9,5117.317857650054,4360.147037184173,2
STRAP,0.8,9167.825987184608,8410.655166718727,2
MASC,0.99,1522.448822923192,817.65103149914,2
MASC,0.9,4669.411047561244,3964.613256137193,2
MASC,0.8,8166.035741603526,7461.237950179474,2
STRAP,0.998,1054.9843851826017,410.1968369753183,3
STRAP,0.9,5251.560859331111,4606.773311123828,3
STRAP,0.8,9534.54845167865,8889.760903471366,3
MASC,0.99,1442.7015017785234,866.2035073601663,3
MASC,0.9,4790.493135980981,4213.995141562624,3
MASC,0.8,8510.261618428156,7933.763624009798,3
STRAP,0.998,994.543926136836,422.36760857093805,4
STRAP,0.9,5338.29573865217,4766.119421086272,4
STRAP,0.8,9771.489136138185,9199.312818572287,4
MASC,0.99,1389.8692996247812,898.3692802405,4
MASC,0.9,4870.7094151082,4379.2093957239185,4
MASC,0.8,8738.30954342311,8246.80952403883,4
STRAP,0.998,952.7142882960618,430.79075717247457,5
STRAP,0.9,5398.3232210281085,4876.399689904521,5
STRAP,0.8,9935.471064422069,9413.54753329848,5
MASC,0.99,1352.3359037427124,921.2206973337538,5
MASC,0.9,4927.697184648963,4496.581978240005,5
MASC,0.8,8900.320830100354,8469.205623691396,5
STRAP,0.998,922.3696895668077,436.9011869429507,6
STRAP,0.9,5441.86913630375,4956.400633679893,6
STRAP,0.8,10054.42896292372,9568.960460299862,6
MASC,0.99,1324.3287612666004,938.2722557997859,6
MASC,0.9,4970.221036898806,4584.164531431992,6
MASC,0.8,9021.212454267927,8635.155948801112,6
STRAP,0.998,899.5971880897459,441.4868389799143,7
STRAP,0.9,5474.548738653494,5016.438389543662,7
STRAP,0.8,10143.702475600801,9685.59212649097,7
MASC,0.99,1302.654846890369,951.4679618054697,7
MASC,0.9,5003.129011476961,4651.942126392061,7
MASC,0.8,9114.766972128728,8763.580087043829,7
STRAP,0.998,882.0685215713519,445.0165506985102,8
STRAP,0.9,5499.703193122159,5062.6512222493175,8
STRAP,0.8,10212.41893322046,9775.366962347618,8
MASC,0.99,1285.4045746219285,961.9704265389271,8
MASC,0.9,5029.320474238232,4705.886326155231,8
MASC,0.8,9189.22702936746,8865.792881284458,8
STRAP,0.998,868.3111339838229,447.7868476936645,9
STRAP,0.9,5519.445686329795,5098.921400039636,9
STRAP,0.8,10266.351098575062,9845.826812284904,9
MASC,0.99,1271.365817134658,970.5176281782528,9
MASC,0.9,5050.635824408972,4749.787635452567,9
MASC,0.8,9249.824721380432,8948.976532424027,9
STRAP,0.998,857.3478590220901,449.99449994524986,10
STRAP,0.9,5535.178497525844,5127.825138449004,10
STRAP,0.8,10309.329691298595,9901.976332221755,10
MASC,0.99,1259.732111859447,977.6005644630249,10
MASC,0.9,5068.299531610205,4786.167984213783,10
MASC,0.8,9300.041109111047,9017.909561714625,10
